PlantID,PlantName,Accession,ClonalGroup,Replicate,AccessionID,ExperimentID,User,GrowthLocation,TrayPosition,PlantingDate,IntoChamberDate,EmergenceDate,EarEmergenceDate,variable,value,measurement_date,ploidy
28303,BdTR9b_R3F,BdTR9b,Clone4,3,718,BVZ0049,SRE,NCRIS-5,1A1,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,0,2015-09-30,dis
28304,BdTR3d_R2F,BdTR3d,Clone2,2,680,BVZ0049,SRE,NCRIS-5,1A2,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30,dis
28305,BdTR5g_R1F,BdTR5g,Clone3,1,701,BVZ0049,SRE,NCRIS-5,1A3,2015-09-14,2015-09-21,2015-09-27,2016-03-29,Growth Stage,0,2015-09-30,dis
28306,BdTR9f_R1F,BdTR9f,Clone4,1,721,BVZ0049,SRE,NCRIS-5,1A4,2015-09-14,2015-09-21,2015-09-27,2016-03-19,Growth Stage,0,2015-09-30,dis
28307,BdTR13i_R1F,BdTR13i,Clone7,1,762,BVZ0049,SRE,NCRIS-5,1A5,2015-09-14,2015-09-21,2015-09-27,2016-03-07,Growth Stage,0,2015-09-30,dis
28308,BdTR11h_R1F,BdTR11h,Clone6,1,749,BVZ0049,SRE,NCRIS-5,1B1,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,1,2015-09-30,dis
28309,BdTR2c_R1F,BdTR2c,Clone1,1,662,BVZ0049,SRE,NCRIS-5,1B2,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30,dis
28310,BdTR11h_R2F,BdTR11h,Clone6,2,749,BVZ0049,SRE,NCRIS-5,1B3,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30,dis
28311,KEI1_R3F,KEI1,HYB2,3,422,BVZ0049,SRE,NCRIS-5,1B4,2015-09-14,2015-09-21,2015-09-28,2016-03-07,Growth Stage,0,2015-09-30,hyb
28312,BdTR2b_R1F,BdTR2b,Clone1,1,661,BVZ0049,SRE,NCRIS-5,1B5,2015-09-14,2015-09-21,2015-09-27,2016-03-07,Growth Stage,0,2015-09-30,dis
28313,BdTR9b_R2F,BdTR9b,Clone4,2,718,BVZ0049,SRE,NCRIS-5,1C1,2015-09-14,2015-09-21,2015-09-27,2016-03-18,Growth Stage,0,2015-09-30,dis
28314,BdTR11d_R2F,BdTR11d,Clone6,2,745,BVZ0049,SRE,NCRIS-5,1C2,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,0,2015-09-30,dis
28315,BdTR3s_R2F,BdTR3s,Clone2,2,693,BVZ0049,SRE,NCRIS-5,1C3,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,0,2015-09-30,dis
28316,BRO1-1_R2F,BRO1-1,HYB1,2,278,BVZ0049,SRE,NCRIS-5,1C4,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,0,2015-09-30,hyb
28317,BdTR10c_R1F,BdTR10c,Clone5,1,730,BVZ0049,SRE,NCRIS-5,1C5,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,1,2015-09-30,dis
28318,BdTR3d_R1F,BdTR3d,Clone2,1,680,BVZ0049,SRE,NCRIS-5,1D1,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1.1,2015-09-30,dis
28319,BdTR3e_R2F,BdTR3e,Clone2,2,681,BVZ0049,SRE,NCRIS-5,1D2,2015-09-14,2015-09-21,2015-09-27,2016-03-15,Growth Stage,1.2,2015-09-30,dis
28320,BdTR10f_R1F,BdTR10f,Clone4,1,733,BVZ0049,SRE,NCRIS-5,1D3,2015-09-14,2015-09-21,2015-09-27,2016-03-15,Growth Stage,1,2015-09-30,dis
28321,BdTR5g_R3F,BdTR5g,Clone3,3,701,BVZ0049,SRE,NCRIS-5,1D4,2015-09-14,2015-09-21,2015-09-27,2016-03-29,Growth Stage,0,2015-09-30,dis
28322,BdTR2g_R1F,BdTR2g,Clone1,1,666,BVZ0049,SRE,NCRIS-5,2A1,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,0,2015-09-30,dis
28323,BdTR2n_R1F,BdTR2n,Clone1,1,672,BVZ0049,SRE,NCRIS-5,2A2,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30,dis
28324,BdTR3c_R2F,BdTR3c,Clone2,2,679,BVZ0049,SRE,NCRIS-5,2A3,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30,dis
28325,BdTR3i_R2F,BdTR3i,Clone2,2,685,BVZ0049,SRE,NCRIS-5,2A4,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,1,2015-09-30,dis
28326,BdTR3r_R3F,BdTR3r,Clone2,3,692,BVZ0049,SRE,NCRIS-5,2A5,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,0,2015-09-30,dis
28327,BdTR5j_R3F,BdTR5j,Clone3,3,704,BVZ0049,SRE,NCRIS-5,2B1,2015-09-14,2015-09-21,2015-09-27,2016-03-29,Growth Stage,0,2015-09-30,dis
28328,Bd21_R16F,Bd21,Bd21,16,4741,BVZ0049,SRE,NCRIS-5,2B2,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30,dis
28329,BdTR10i_R3F,BdTR10i,Clone5,3,736,BVZ0049,SRE,NCRIS-5,2B3,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,1.3,2015-09-30,dis
28330,BdTR13g_R1F,BdTR13g,Clone7,1,760,BVZ0049,SRE,NCRIS-5,2B4,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,1.2,2015-09-30,dis
28331,BdTR9g_R2F,BdTR9g,Clone4,2,722,BVZ0049,SRE,NCRIS-5,2B5,2015-09-14,2015-09-21,2015-09-27,2016-03-25,Growth Stage,0,2015-09-30,dis
28332,BdTR13c_R2F,BdTR13c,Clone7,2,756,BVZ0049,SRE,NCRIS-5,2C1,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,1,2015-09-30,dis
28333,ELI10_R2F,ELI10,HYB1,2,349,BVZ0049,SRE,NCRIS-5,2C2,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30,hyb
28334,BdTR11f_R3F,BdTR11f,Clone6,3,747,BVZ0049,SRE,NCRIS-5,2C3,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30,dis
28335,BLA1_R2F,BLA1,HYB1,2,252,BVZ0049,SRE,NCRIS-5,2C4,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30,hyb
28336,BdTR1f_R1F,BdTR1f,Clone1,1,652,BVZ0049,SRE,NCRIS-5,2C5,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1.3,2015-09-30,dis
28337,BdTR10g_R3F,BdTR10g,Clone5,3,734,BVZ0049,SRE,NCRIS-5,2D1,2015-09-14,2015-09-21,2015-09-27,2016-03-19,Growth Stage,1.2,2015-09-30,dis
28338,BdTR3f_R2F,BdTR3f,Clone2,2,682,BVZ0049,SRE,NCRIS-5,2D2,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,1.3,2015-09-30,dis
28339,KEI5_R1F,KEI5,HYB2,1,426,BVZ0049,SRE,NCRIS-5,2D3,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30,hyb
28340,EGL7_R2F,EGL7,HYB1,2,338,BVZ0049,SRE,NCRIS-5,2D4,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30,hyb
28341,BdTR3k_R1F,BdTR3k,Clone2,1,687,BVZ0049,SRE,NCRIS-5,3A1,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30,dis
