PlantID,PlantName,Accession,ClonalGroup,Replicate,AccessionID,ExperimentID,User,GrowthLocation,TrayPosition,PlantingDate,IntoChamberDate,EmergenceDate,EarEmergenceDate,variable,value,measurement_date,ploidy
28031,ELI10_R2S,ELI10,HYB1,2,349,BVZ0049,SRE,NCRIS-2,2C2,2015-09-24,2015-10-02,2015-10-07,2015-11-13,Growth Stage,0,2015-10-12,hyb
28032,BdTR11f_R3S,BdTR11f,Clone6,3,747,BVZ0049,SRE,NCRIS-2,2C3,2015-09-24,2015-10-02,2015-10-07,2015-12-01,Growth Stage,0,2015-10-12,dis
28033,BLA1_R2S,BLA1,HYB1,2,252,BVZ0049,SRE,NCRIS-2,2C4,2015-09-24,2015-10-02,2015-10-07,2015-11-13,Growth Stage,0,2015-10-12,hyb
28034,BdTR1f_R1S,BdTR1f,Clone1,1,652,BVZ0049,SRE,NCRIS-2,2C5,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.3,2015-10-12,dis
28035,BdTR10g_R3S,BdTR10g,Clone5,3,734,BVZ0049,SRE,NCRIS-2,2D1,2015-09-24,2015-10-02,2015-10-12,2015-11-23,Growth Stage,0,2015-10-12,dis
28036,BdTR3f_R2S,BdTR3f,Clone2,2,682,BVZ0049,SRE,NCRIS-2,2D2,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.4,2015-10-12,dis
28037,KEI5_R1S,KEI5,HYB2,1,426,BVZ0049,SRE,NCRIS-2,2D3,2015-09-24,2015-10-02,2015-10-07,2015-11-11,Growth Stage,0,2015-10-12,hyb
28038,EGL7_R2S,EGL7,HYB1,2,338,BVZ0049,SRE,NCRIS-2,2D4,2015-09-24,2015-10-02,2015-10-07,2015-11-11,Growth Stage,0,2015-10-12,hyb
28039,BdTR3k_R1S,BdTR3k,Clone2,1,687,BVZ0049,SRE,NCRIS-2,3A1,2015-09-24,2015-10-02,2015-10-07,2015-12-03,Growth Stage,1.2,2015-10-12,dis
28040,Bd21_R11S,Bd21,Bd21,11,4741,BVZ0049,SRE,NCRIS-2,3A2,2015-09-24,2015-10-02,2015-10-09,2015-11-20,Growth Stage,0,2015-10-12,dis
28041,BdTR5i_R1S,BdTR5i,Clone3,1,703,BVZ0049,SRE,NCRIS-2,3A3,2015-09-24,2015-10-02,2015-10-09,2015-11-23,Growth Stage,0,2015-10-12,dis
28042,BdTR5a_R3S,BdTR5a,Clone3,3,695,BVZ0049,SRE,NCRIS-2,3A4,2015-09-24,2015-10-02,2015-10-08,2015-11-27,Growth Stage,0,2015-10-12,dis
28043,GUL3-8_R1S,GUL3-8,HYB1,1,389,BVZ0049,SRE,NCRIS-2,3A5,2015-09-24,2015-10-02,2015-10-07,2015-11-11,Growth Stage,0,2015-10-12,hyb
28044,BdTR10n_R2S,BdTR10n,Clone6,2,740,BVZ0049,SRE,NCRIS-2,3B1,2015-09-24,2015-10-02,2015-10-09,2015-11-25,Growth Stage,0,2015-10-12,dis
28045,BdTR2d_R2S,BdTR2d,Clone1,2,663,BVZ0049,SRE,NCRIS-2,3B2,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.2,2015-10-12,dis
