SampleID	PlantID	AccessionID	PlantName	Accession	ClonalGroup	Replicate	BRF_Sequencing_Batch	LIBRARY SET	prep_set	index d5	index d7	output well	SRA_run_ID
S60071	28072	669	BdTR2j_R2S	BdTR2j	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-F	506	711	F11	SRR5046528
S60073	28074	748	BdTR11g_R2S	BdTR11g	Clone6	2	SN877_0423	Sp1_2500	SP-1bs-G	507	707	G7	SRR5046547
S60078	28079	672	BdTR2n_R2S	BdTR2n	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-D	504	706	D6	SRR5046523
S60081	28082	4741	Bd21_R12S	Bd21	Bd21	12	SN877_0423	Sp1_2500	SP-1bs-E	505	709	E9	SRR5046531
S60084	28085	671	BdTR2m_R2S	BdTR2m	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-C	503	704	C4	SRR5046546
S60085	28086	750	BdTR11i_R2S	BdTR11i	Clone6	2	SN877_0423	Sp1_2500	SP-1bs-A	501	707	A7	SRR5046562
S60092	28093	747	BdTR11f_R1S	BdTR11f	Clone6	1	SN877_0423	Sp1_2500	SP-1bs-E	505	703	E3	SRR5046486
S60096	28097	744	BdTR11c_R2S	BdTR11c	Clone6	2	SN877_0423	Sp1_2500	SP-1bs-C	503	708	C8	SRR5046516
S60098	28099	669	BdTR2j_R1S	BdTR2j	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-B	502	707	B7	SRR5046515
S60100	28101	663	BdTR2d_R1S	BdTR2d	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-D	504	710	D10	SRR5046559
S60102	28103	647	BdTR1a_R3S	BdTR1a	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-G	507	704	G4	SRR5046529
S60105	28106	745	BdTR11d_R3S	BdTR11d	Clone6	3	SN877_0423	Sp1_2500	SP-1bs-H	508	710	H10	SRR5046508
S60107	28108	675	BdTR2r_R1S	BdTR2r	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-H	508	705	H5	SRR5046512
S60120	28121	653	BdTR1g_R1S	BdTR1g	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-F	506	709	F9	SRR5046505
S60121	28122	674	BdTR2p_R1S	BdTR2p	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-F	506	708	F8	SRR5046558
S60122	28123	670	BdTR2k_R1S	BdTR2k	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-G	507	705	G5	SRR5046471
S60130	28131	748	BdTR11g_R1S	BdTR11g	Clone6	1	SN877_0423	Sp1_2500	SP-1bs-H	508	703	H3	SRR5046554
S60131	28132	747	BdTR11f_R2S	BdTR11f	Clone6	2	SN877_0423	Sp1_2500	SP-1bs-A	501	705	A5	SRR5046552
S60132	28133	669	BdTR2j_R3S	BdTR2j	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-A	501	712	A12	SRR5046502
S60137	28138	666	BdTR2g_R3S	BdTR2g	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-A	501	702	A2	SRR5046501
S60139	28140	667	BdTR2h_R2S	BdTR2h	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-E	505	702	E2	SRR5046485
S60140	28141	750	BdTR11i_R1S	BdTR11i	Clone6	1	SN877_0423	Sp1_2500	SP-1bs-G	507	708	G8	SRR5046498
S60142	28143	671	BdTR2m_R3S	BdTR2m	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-E	505	706	E6	SRR5046533
S60145	28146	4741	Bd21_R13S	Bd21	Bd21	13	SN877_0423	Sp1_2500	SP-1bs-A	501	708	A8	SRR5046519
S60153	28154	659	BdTR1n_R2S	BdTR1n	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-B	502	703	B3	SRR5046500
S60154	28155	666	BdTR2g_R2S	BdTR2g	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-A	501	706	A6	SRR5046511
S60155	28156	671	BdTR2m_R1S	BdTR2m	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-B	502	705	B5	SRR5046539
S60157	28158	657	BdTR1k_R2S	BdTR1k	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-B	502	701	B1	SRR5046551
S60158	28159	740	BdTR10n_R3S	BdTR10n	Clone6	3	SN877_0423	Sp1_2500	SP-1bs-H	508	708	H8	SRR5046474
S60159	28160	744	BdTR11c_R1S	BdTR11c	Clone6	1	SN877_0423	Sp1_2500	SP-1bs-C	503	712	C12	SRR5046517
S60161	28162	744	BdTR11c_R3S	BdTR11c	Clone6	3	SN877_0423	Sp1_2500	SP-1bs-G	507	703	G3	SRR5046492
S60174	28175	654	BdTR1h_R2S	BdTR1h	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-B	502	706	B6	SRR5046560
S60175	28176	674	BdTR2p_R3S	BdTR2p	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-G	507	712	G12	SRR5046487
S60177	28178	653	BdTR1g_R3S	BdTR1g	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-D	504	709	D9	SRR5046535
S60179	28180	648	BdTR1b_R3S	BdTR1b	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-F	506	712	F12	SRR5046507
S60181	28182	648	BdTR1b_R1S	BdTR1b	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-E	505	708	E8	SRR5046472
S60187	28188	653	BdTR1g_R2S	BdTR1g	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-F	506	704	F4	SRR5046495
S60188	28189	676	BdTR2s_R3S	BdTR2s	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-D	504	711	D11	SRR5046545
S60190	28191	657	BdTR1k_R3S	BdTR1k	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-H	508	709	H9	SRR5046542
S60193	28194	647	BdTR1a_R2S	BdTR1a	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-H	508	701	H1	SRR5046549
S60196	28197	654	BdTR1h_R1S	BdTR1h	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-H	508	702	H2	SRR5046540
S60197	28198	662	BdTR2c_R2S	BdTR2c	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-D	504	708	D8	SRR5046477
S60202	28203	4741	Bd21_R17S	Bd21	Bd21	17	SN877_0423	Sp1_2500	SP-1bs-B	502	709	B9	SRR5046563
S60207	28208	658	BdTR1m_R2S	BdTR1m	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-A	501	704	A4	SRR5046510
S60208	28209	676	BdTR2s_R2S	BdTR2s	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-G	507	701	G1	SRR5046503
S60209	28210	4741	Bd21_R15S	Bd21	Bd21	15	SN877_0423	Sp1_2500	SP-1bs-D	504	702	D2	SRR5046556
S60211	28212	4741	Bd21_R10S	Bd21	Bd21	10	SN877_0423	Sp1_2500	SP-1bs-G	507	709	G9	SRR5046530
S60216	28217	659	BdTR1n_R1S	BdTR1n	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-F	506	707	F7	SRR5046504
S60223	28224	658	BdTR1m_R3S	BdTR1m	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-E	505	710	E10	SRR5046557
S60227	28228	667	BdTR2h_R1S	BdTR2h	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-G	507	710	G10	SRR5046496
S60228	28229	675	BdTR2r_R3S	BdTR2r	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-A	501	703	A3	SRR5046490
S60238	28239	658	BdTR1m_R1S	BdTR1m	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-F	506	706	F6	SRR5046481
S60243	28244	651	BdTR1e_R2S	BdTR1e	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-C	503	707	C7	SRR5046520
S60259	28260	674	BdTR2p_R2S	BdTR2p	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-D	504	712	D12	SRR5046483
S60262	28263	647	BdTR1a_R1S	BdTR1a	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-E	505	711	E11	SRR5046489
S60263	28264	745	BdTR11d_R1S	BdTR11d	Clone6	1	SN877_0423	Sp1_2500	SP-1bs-H	508	707	H7	SRR5046514
S60264	28265	662	BdTR2c_R3S	BdTR2c	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-F	506	703	F3	SRR5046555
S60268	28269	749	BdTR11h_R3S	BdTR11h	Clone6	3	SN877_0423	Sp1_2500	SP-1bs-C	503	711	C11	SRR5046553
S60272	28273	672	BdTR2n_R3S	BdTR2n	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-H	508	704	H4	SRR5046499
S60273	28274	648	BdTR1b_R2S	BdTR1b	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-A	501	709	A9	SRR5046561
S60274	28275	656	BdTR1j_R2S	BdTR1j	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-D	504	705	D5	SRR5046480
S60275	28276	670	BdTR2k_R2S	BdTR2k	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-D	504	703	D3	SRR5046476
S60277	28278	657	BdTR1k_R1S	BdTR1k	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-B	502	708	B8	SRR5046479
S60279	28280	675	BdTR2r_R2S	BdTR2r	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-A	501	710	A10	SRR5046524
S60281	28282	651	BdTR1e_R1S	BdTR1e	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-C	503	701	C1	SRR5046488
S60283	28284	676	BdTR2s_R1S	BdTR2s	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-E	505	712	E12	SRR5046532
S60284	28285	654	BdTR1h_R3S	BdTR1h	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-B	502	704	B4	SRR5046509
S60287	28288	651	BdTR1e_R3S	BdTR1e	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-D	504	701	D1	SRR5046541
S60288	28289	663	BdTR2d_R3S	BdTR2d	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-E	505	701	E1	SRR5046469
S60289	28290	652	BdTR1f_R2S	BdTR1f	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-E	505	705	E5	SRR5046543
S60290	28291	652	BdTR1f_R3S	BdTR1f	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-F	506	702	F2	SRR5046534
S60291	28292	670	BdTR2k_R3S	BdTR2k	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-D	504	707	D7	SRR5046522
S60295	28296	656	BdTR1j_R1S	BdTR1j	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-H	508	711	H11	SRR5046518
S60166	28167	4741	Bd21_R7S	Bd21	Bd21	7		SP1_2000	SP-1bs-H	508	712	H12	
S60005	28006	749	BdTR11h_R1S	BdTR11h	Clone6	1	SN877_0437	SP1_2000	SP-1bs-E	505	704	E4	SRR5032129
S60006	28007	662	BdTR2c_R1S	BdTR2c	Clone1	1	SN877_0437	SP1_2000	SP-1bs-A	501	711	A11	SRR5032153
S60007	28008	749	BdTR11h_R2S	BdTR11h	Clone6	2	SN877_0437	SP1_2000	SP-1bs-B	502	712	B12	SRR5032126
S60009	28010	661	BdTR2b_R1S	BdTR2b	Clone1	1	SN877_0437	SP1_2000	SP-1bs-F	506	701	F1	SRR5032087
S60011	28012	745	BdTR11d_R2S	BdTR11d	Clone6	2	SN877_0437	SP1_2000	SP-1bs-H	508	706	H6	SRR5032112
S60019	28020	666	BdTR2g_R1S	BdTR2g	Clone1	1	SN877_0437	SP1_2000	SP-1bs-F	506	710	F10	SRR5032143
S60020	28021	672	BdTR2n_R1S	BdTR2n	Clone1	1	SN877_0437	SP1_2000	SP-1bs-D	504	704	D4	SRR5032139
S60025	28026	4741	Bd21_R16S	Bd21	Bd21	16	SN877_0437	SP1_2000	SP-1bs-E	505	707	E7	SRR5032073
S60031	28032	747	BdTR11f_R3S	BdTR11f	Clone6	3	SN877_0437	SP1_2000	SP-1bs-C	503	709	C9	SRR5032072
S60033	28034	652	BdTR1f_R1S	BdTR1f	Clone1	1	SN877_0437	SP1_2000	SP-1bs-B	502	702	B2	SRR5032074
S60039	28040	4741	Bd21_R11S	Bd21	Bd21	11	SN877_0437	SP1_2000	SP-1bs-A	501	701	A1	SRR5032149
S60043	28044	740	BdTR10n_R2S	BdTR10n	Clone6	2	SN877_0437	SP1_2000	SP-1bs-F	506	705	F5	SRR5032102
S60044	28045	663	BdTR2d_R2S	BdTR2d	Clone1	2	SN877_0437	SP1_2000	SP-1bs-B	502	710	B10	SRR5032105
S60045	28046	656	BdTR1j_R3S	BdTR1j	Clone1	3	SN877_0437	SP1_2000	SP-1bs-G	507	711	G11	SRR5032147
S60047	28048	4741	Bd21_R2S	Bd21	Bd21	2	SN877_0437	SP1_2000	SP-1bs-C	503	710	C10	SRR5032116
S60050	28051	661	BdTR2b_R2S	BdTR2b	Clone1	2	SN877_0437	SP1_2000	SP-1bs-G	507	706	G6	SRR5032070
S60055	28056	748	BdTR11g_R3S	BdTR11g	Clone6	3	SN877_0437	SP1_2000	SP-1bs-C	503	703	C3	SRR5032114
S60056	28057	659	BdTR1n_R3S	BdTR1n	Clone1	3	SN877_0437	SP1_2000	SP-1bs-C	503	702	C2	SRR5032152
S60059	28060	661	BdTR2b_R3S	BdTR2b	Clone1	3	SN877_0437	SP1_2000	SP-1bs-B	502	711	B11	SRR5032137
S60061	28062	750	BdTR11i_R3S	BdTR11i	Clone6	3	SN877_0437	SP1_2000	SP-1bs-C	503	706	C6	SRR5032133
S60068	28069	740	BdTR10n_R1S	BdTR10n	Clone6	1	SN877_0437	SP1_2000	SP-1bs-G	507	702	G2	SRR5032130
S60070	28071	667	BdTR2h_R3S	BdTR2h	Clone1	3	SN877_0437	SP1_2000	SP-1bs-C	503	705	C5	SRR5032083
S60071	28072	669	BdTR2j_R2S	BdTR2j	Clone1	2	SN877_0437	SP1_2000	SP-1bs-F	506	711	F11	SRR5032080
S60073	28074	748	BdTR11g_R2S	BdTR11g	Clone6	2	SN877_0437	SP1_2000	SP-1bs-G	507	707	G7	SRR5032067
S60078	28079	672	BdTR2n_R2S	BdTR2n	Clone1	2	SN877_0437	SP1_2000	SP-1bs-D	504	706	D6	SRR5032134
S60081	28082	4741	Bd21_R12S	Bd21	Bd21	12	SN877_0437	SP1_2000	SP-1bs-E	505	709	E9	SRR5032094
S60084	28085	671	BdTR2m_R2S	BdTR2m	Clone1	2	SN877_0437	SP1_2000	SP-1bs-C	503	704	C4	SRR5032121
S60085	28086	750	BdTR11i_R2S	BdTR11i	Clone6	2	SN877_0437	SP1_2000	SP-1bs-A	501	707	A7	SRR5032123
S60092	28093	747	BdTR11f_R1S	BdTR11f	Clone6	1	SN877_0437	SP1_2000	SP-1bs-E	505	703	E3	SRR5032110
S60096	28097	744	BdTR11c_R2S	BdTR11c	Clone6	2	SN877_0437	SP1_2000	SP-1bs-C	503	708	C8	SRR5032090
S60098	28099	669	BdTR2j_R1S	BdTR2j	Clone1	1	SN877_0437	SP1_2000	SP-1bs-B	502	707	B7	SRR5032068
S60100	28101	663	BdTR2d_R1S	BdTR2d	Clone1	1	SN877_0437	SP1_2000	SP-1bs-D	504	710	D10	SRR5032145
S60102	28103	647	BdTR1a_R3S	BdTR1a	Clone1	3	SN877_0437	SP1_2000	SP-1bs-G	507	704	G4	SRR5032099
S60105	28106	745	BdTR11d_R3S	BdTR11d	Clone6	3	SN877_0437	SP1_2000	SP-1bs-H	508	710	H10	SRR5032140
S60107	28108	675	BdTR2r_R1S	BdTR2r	Clone1	1	SN877_0437	SP1_2000	SP-1bs-H	508	705	H5	SRR5032092
S60120	28121	653	BdTR1g_R1S	BdTR1g	Clone1	1	SN877_0437	SP1_2000	SP-1bs-F	506	709	F9	SRR5032138
S60121	28122	674	BdTR2p_R1S	BdTR2p	Clone1	1	SN877_0437	SP1_2000	SP-1bs-F	506	708	F8	SRR5032100
S60122	28123	670	BdTR2k_R1S	BdTR2k	Clone1	1	SN877_0437	SP1_2000	SP-1bs-G	507	705	G5	SRR5032125
S60130	28131	748	BdTR11g_R1S	BdTR11g	Clone6	1	SN877_0437	SP1_2000	SP-1bs-H	508	703	H3	SRR5032096
S60131	28132	747	BdTR11f_R2S	BdTR11f	Clone6	2	SN877_0437	SP1_2000	SP-1bs-A	501	705	A5	SRR5032146
S60132	28133	669	BdTR2j_R3S	BdTR2j	Clone1	3	SN877_0437	SP1_2000	SP-1bs-A	501	712	A12	SRR5032151
S60137	28138	666	BdTR2g_R3S	BdTR2g	Clone1	3	SN877_0437	SP1_2000	SP-1bs-A	501	702	A2	SRR5032084
S60139	28140	667	BdTR2h_R2S	BdTR2h	Clone1	2	SN877_0437	SP1_2000	SP-1bs-E	505	702	E2	SRR5032107
S60140	28141	750	BdTR11i_R1S	BdTR11i	Clone6	1	SN877_0437	SP1_2000	SP-1bs-G	507	708	G8	SRR5032111
S60142	28143	671	BdTR2m_R3S	BdTR2m	Clone1	3	SN877_0437	SP1_2000	SP-1bs-E	505	706	E6	SRR5032093
S60145	28146	4741	Bd21_R13S	Bd21	Bd21	13	SN877_0437	SP1_2000	SP-1bs-A	501	708	A8	SRR5032144
S60153	28154	659	BdTR1n_R2S	BdTR1n	Clone1	2	SN877_0437	SP1_2000	SP-1bs-B	502	703	B3	SRR5032106
S60154	28155	666	BdTR2g_R2S	BdTR2g	Clone1	2	SN877_0437	SP1_2000	SP-1bs-A	501	706	A6	SRR5032060
S60155	28156	671	BdTR2m_R1S	BdTR2m	Clone1	1	SN877_0437	SP1_2000	SP-1bs-B	502	705	B5	SRR5032061
S60157	28158	657	BdTR1k_R2S	BdTR1k	Clone1	2	SN877_0437	SP1_2000	SP-1bs-B	502	701	B1	SRR5032117
S60158	28159	740	BdTR10n_R3S	BdTR10n	Clone6	3	SN877_0437	SP1_2000	SP-1bs-H	508	708	H8	SRR5032097
S60159	28160	744	BdTR11c_R1S	BdTR11c	Clone6	1	SN877_0437	SP1_2000	SP-1bs-C	503	712	C12	SRR5032076
S60161	28162	744	BdTR11c_R3S	BdTR11c	Clone6	3	SN877_0437	SP1_2000	SP-1bs-G	507	703	G3	SRR5032063
S60174	28175	654	BdTR1h_R2S	BdTR1h	Clone1	2	SN877_0437	SP1_2000	SP-1bs-B	502	706	B6	SRR5032098
S60175	28176	674	BdTR2p_R3S	BdTR2p	Clone1	3	SN877_0437	SP1_2000	SP-1bs-G	507	712	G12	SRR5032062
S60177	28178	653	BdTR1g_R3S	BdTR1g	Clone1	3	SN877_0437	SP1_2000	SP-1bs-D	504	709	D9	SRR5032150
S60179	28180	648	BdTR1b_R3S	BdTR1b	Clone1	3	SN877_0437	SP1_2000	SP-1bs-F	506	712	F12	SRR5032104
S60181	28182	648	BdTR1b_R1S	BdTR1b	Clone1	1	SN877_0437	SP1_2000	SP-1bs-E	505	708	E8	SRR5032065
S60187	28188	653	BdTR1g_R2S	BdTR1g	Clone1	2	SN877_0437	SP1_2000	SP-1bs-F	506	704	F4	SRR5032077
S60188	28189	676	BdTR2s_R3S	BdTR2s	Clone1	3	SN877_0437	SP1_2000	SP-1bs-D	504	711	D11	SRR5032103
S60190	28191	657	BdTR1k_R3S	BdTR1k	Clone1	3	SN877_0437	SP1_2000	SP-1bs-H	508	709	H9	SRR5032095
S60193	28194	647	BdTR1a_R2S	BdTR1a	Clone1	2	SN877_0437	SP1_2000	SP-1bs-H	508	701	H1	SRR5032078
S60196	28197	654	BdTR1h_R1S	BdTR1h	Clone1	1	SN877_0437	SP1_2000	SP-1bs-H	508	702	H2	SRR5032064
S60197	28198	662	BdTR2c_R2S	BdTR2c	Clone1	2	SN877_0437	SP1_2000	SP-1bs-D	504	708	D8	SRR5032075
S60202	28203	4741	Bd21_R17S	Bd21	Bd21	17	SN877_0437	SP1_2000	SP-1bs-B	502	709	B9	SRR5032120
S60207	28208	658	BdTR1m_R2S	BdTR1m	Clone1	2	SN877_0437	SP1_2000	SP-1bs-A	501	704	A4	SRR5032142
S60208	28209	676	BdTR2s_R2S	BdTR2s	Clone1	2	SN877_0437	SP1_2000	SP-1bs-G	507	701	G1	SRR5032086
S60209	28210	4741	Bd21_R15S	Bd21	Bd21	15	SN877_0437	SP1_2000	SP-1bs-D	504	702	D2	SRR5032119
S60211	28212	4741	Bd21_R10S	Bd21	Bd21	10	SN877_0437	SP1_2000	SP-1bs-G	507	709	G9	SRR5032127
S60216	28217	659	BdTR1n_R1S	BdTR1n	Clone1	1	SN877_0437	SP1_2000	SP-1bs-F	506	707	F7	SRR5032128
S60223	28224	658	BdTR1m_R3S	BdTR1m	Clone1	3	SN877_0437	SP1_2000	SP-1bs-E	505	710	E10	SRR5032059
S60227	28228	667	BdTR2h_R1S	BdTR2h	Clone1	1	SN877_0437	SP1_2000	SP-1bs-G	507	710	G10	SRR5032118
S60228	28229	675	BdTR2r_R3S	BdTR2r	Clone1	3	SN877_0437	SP1_2000	SP-1bs-A	501	703	A3	SRR5032124
S60238	28239	658	BdTR1m_R1S	BdTR1m	Clone1	1	SN877_0437	SP1_2000	SP-1bs-F	506	706	F6	SRR5032088
S60243	28244	651	BdTR1e_R2S	BdTR1e	Clone1	2	SN877_0437	SP1_2000	SP-1bs-C	503	707	C7	SRR5032081
S60259	28260	674	BdTR2p_R2S	BdTR2p	Clone1	2	SN877_0437	SP1_2000	SP-1bs-D	504	712	D12	SRR5032091
S60262	28263	647	BdTR1a_R1S	BdTR1a	Clone1	1	SN877_0437	SP1_2000	SP-1bs-E	505	711	E11	SRR5032131
S60263	28264	745	BdTR11d_R1S	BdTR11d	Clone6	1	SN877_0437	SP1_2000	SP-1bs-H	508	707	H7	SRR5032113
S60264	28265	662	BdTR2c_R3S	BdTR2c	Clone1	3	SN877_0437	SP1_2000	SP-1bs-F	506	703	F3	SRR5032071
S60268	28269	749	BdTR11h_R3S	BdTR11h	Clone6	3	SN877_0437	SP1_2000	SP-1bs-C	503	711	C11	SRR5032109
S60272	28273	672	BdTR2n_R3S	BdTR2n	Clone1	3	SN877_0437	SP1_2000	SP-1bs-H	508	704	H4	SRR5032079
S60273	28274	648	BdTR1b_R2S	BdTR1b	Clone1	2	SN877_0437	SP1_2000	SP-1bs-A	501	709	A9	SRR5032085
S60274	28275	656	BdTR1j_R2S	BdTR1j	Clone1	2	SN877_0437	SP1_2000	SP-1bs-D	504	705	D5	SRR5032141
S60275	28276	670	BdTR2k_R2S	BdTR2k	Clone1	2	SN877_0437	SP1_2000	SP-1bs-D	504	703	D3	SRR5032115
S60277	28278	657	BdTR1k_R1S	BdTR1k	Clone1	1	SN877_0437	SP1_2000	SP-1bs-B	502	708	B8	SRR5032089
S60279	28280	675	BdTR2r_R2S	BdTR2r	Clone1	2	SN877_0437	SP1_2000	SP-1bs-A	501	710	A10	SRR5032101
S60281	28282	651	BdTR1e_R1S	BdTR1e	Clone1	1	SN877_0437	SP1_2000	SP-1bs-C	503	701	C1	SRR5032122
S60283	28284	676	BdTR2s_R1S	BdTR2s	Clone1	1	SN877_0437	SP1_2000	SP-1bs-E	505	712	E12	SRR5032136
S60284	28285	654	BdTR1h_R3S	BdTR1h	Clone1	3	SN877_0437	SP1_2000	SP-1bs-B	502	704	B4	SRR5032069
S60287	28288	651	BdTR1e_R3S	BdTR1e	Clone1	3	SN877_0437	SP1_2000	SP-1bs-D	504	701	D1	SRR5032132
S60288	28289	663	BdTR2d_R3S	BdTR2d	Clone1	3	SN877_0437	SP1_2000	SP-1bs-E	505	701	E1	SRR5032148
S60289	28290	652	BdTR1f_R2S	BdTR1f	Clone1	2	SN877_0437	SP1_2000	SP-1bs-E	505	705	E5	SRR5032135
S60290	28291	652	BdTR1f_R3S	BdTR1f	Clone1	3	SN877_0437	SP1_2000	SP-1bs-F	506	702	F2	SRR5032066
S60291	28292	670	BdTR2k_R3S	BdTR2k	Clone1	3	SN877_0437	SP1_2000	SP-1bs-D	504	707	D7	SRR5032082
S60295	28296	656	BdTR1j_R1S	BdTR1j	Clone1	1	SN877_0437	SP1_2000	SP-1bs-H	508	711	H11	SRR5032108
S60096	28097	744	BdTR11c_R2S	BdTR11c	Clone6	2	SN877_0454	L2	L2.1	501	701	A1	SRR5196565
S60097	28098	702	BdTR5h_R1S	BdTR5h	Clone3	1	SN877_0454	L2	L2.1	502	701	B1	SRR5196564
S60098	28099	669	BdTR2j_R1S	BdTR2j	Clone1	1	SN877_0454	L2	L2.1	503	701	C1	SRR5196563
S60099	28100	728	BdTR10a_R1S	BdTR10a	Clone5	1	SN877_0454	L2	L2.1	504	701	D1	SRR5196562
S60100	28101	663	BdTR2d_R1S	BdTR2d	Clone1	1	SN877_0454	L2	L2.1	505	701	E1	SRR5196561
S60101	28102	700	BdTR5f_R3S	BdTR5f	Clone3	3	SN877_0454	L2	L2.1	506	701	F1	SRR5196560
S60102	28103	647	BdTR1a_R3S	BdTR1a	Clone1	3	SN877_0454	L2	L2.1	507	701	G1	SRR5196559
S60104	28105	699	BdTR5e_R1S	BdTR5e	Clone3	1	SN877_0454	L2	L2.1	501	702	A2	SRR5196558
S60105	28106	745	BdTR11d_R3S	BdTR11d	Clone6	3	SN877_0454	L2	L2.1	502	702	B2	SRR5196557
S60106	28107	765	BdTR13m_R3S	BdTR13m	Clone7	3	SN877_0454	L2	L2.1	503	702	C2	SRR5196556
S60107	28108	675	BdTR2r_R1S	BdTR2r	Clone1	1	SN877_0454	L2	L2.1	504	702	D2	SRR5196555
S60108	28109	691	BdTR3p_R2S	BdTR3p	Clone2	2	SN877_0454	L2	L2.1	505	702	E2	SRR5196554
S60109	28110	678	BdTR3b_R2S	BdTR3b	Clone2	2	SN877_0454	L2	L2.1	506	702	F2	SRR5196553
S60110	28111	754	BdTR13a_R3S	BdTR13a	Clone7	3	SN877_0454	L2	L2.1	507	702	G2	SRR5196552
S60112	28113	741	BdTR10o_R2S	BdTR10o	Clone5	2	SN877_0454	L2	L2.1	501	703	A3	SRR5196551
S60113	28114	682	BdTR3f_R1S	BdTR3f	Clone2	1	SN877_0454	L2	L2.1	502	703	B3	SRR5196550
S60114	28115	703	BdTR5i_R2S	BdTR5i	Clone3	2	SN877_0454	L2	L2.1	503	703	C3	SRR5196549
S60115	28116	729	BdTR10b_R2S	BdTR10b	Clone5	2	SN877_0454	L2	L2.1	504	703	D3	SRR5196548
S60116	28117	722	BdTR9g_R1S	BdTR9g	Clone4	1	SN877_0454	L2	L2.1	505	703	E3	SRR5196547
S60117	28118	759	BdTR13f_R1S	BdTR13f	Clone7	1	SN877_0454	L2	L2.1	506	703	F3	SRR5196546
S60118	28119	680	BdTR3d_R3S	BdTR3d	Clone2	3	SN877_0454	L2	L2.1	507	703	G3	SRR5196545
S60119	28120	759	BdTR13f_R3S	BdTR13f	Clone7	3	SN877_0454	L2	L2.1	508	703	H3	SRR5196544
S60120	28121	653	BdTR1g_R1S	BdTR1g	Clone1	1	SN877_0454	L2	L2.1	501	704	A4	SRR5196543
S60121	28122	674	BdTR2p_R1S	BdTR2p	Clone1	1	SN877_0454	L2	L2.1	502	704	B4	SRR5196542
S60122	28123	670	BdTR2k_R1S	BdTR2k	Clone1	1	SN877_0454	L2	L2.1	503	704	C4	SRR5196541
S60123	28124	762	BdTR13i_R3S	BdTR13i	Clone7	3	SN877_0454	L2	L2.1	504	704	D4	SRR5196540
S60124	28125	684	BdTR3h_R2S	BdTR3h	Clone2	2	SN877_0454	L2	L2.1	505	704	E4	SRR5196539
S60125	28126	755	BdTR13b_R1S	BdTR13b	Clone7	1	SN877_0454	L2	L2.1	506	704	F4	SRR5196538
S60126	28127	704	BdTR5j_R2S	BdTR5j	Clone3	2	SN877_0454	L2	L2.1	507	704	G4	SRR5196537
S60127	28128	367	GUL1-2_R3S	GUL1-2	HYB1	3	SN877_0454	L2	L2.1	508	704	H4	SRR5196536
