SampleID	PlantID	AccessionID	PlantName	Accession	ClonalGroup	Replicate	BRF_Sequencing_Batch	LIBRARY SET	prep_set	index d5	index d7	output well	SRA_run_ID
S60051	28052	764	BdTR13k_R2S	BdTR13k	Clone7	2	SN877_0438	L1	L1.2	504	707	D7	SRR5050863
S60052	28053	687	BdTR3k_R3S	BdTR3k	Clone2	3	SN877_0438	L1	L1.2	505	707	E7	SRR5050906
S60053	28054	718	BdTR9b_R1S	BdTR9b	Clone4	1	SN877_0438	L1	L1.2	506	707	F7	SRR5050929
S60054	28055	706	BdTR5m_R2S	BdTR5m	Clone3	2	SN877_0438	L1	L1.2	507	707	G7	SRR5050904
S60055	28056	748	BdTR11g_R3S	BdTR11g	Clone6	3	SN877_0438	L1	L1.2	508	707	H7	SRR5050918
S60056	28057	659	BdTR1n_R3S	BdTR1n	Clone1	3	SN877_0438	L1	L1.2	501	708	A8	SRR5050881
S60057	28058	721	BdTR9f_R2S	BdTR9f	Clone4	2	SN877_0438	L1	L1.2	502	708	B8	SRR5050927
S60058	28059	754	BdTR13a_R1S	BdTR13a	Clone7	1	SN877_0438	L1	L1.2	503	708	C8	SRR5050866
S60059	28060	661	BdTR2b_R3S	BdTR2b	Clone1	3	SN877_0438	L1	L1.2	504	708	D8	SRR5050917
S60060	28061	707	BdTR5n_R1S	BdTR5n	Clone3	1	SN877_0438	L1	L1.2	505	708	E8	SRR5050859
S60061	28062	750	BdTR11i_R3S	BdTR11i	Clone6	3	SN877_0438	L1	L1.2	506	708	F8	SRR5050894
S60062	28063	729	BdTR10b_R3S	BdTR10b	Clone5	3	SN877_0438	L1	L1.2	507	708	G8	SRR5050939
S60063	28064	700	BdTR5f_R2S	BdTR5f	Clone3	2	SN877_0438	L1	L1.2	508	708	H8	SRR5050910
S60064	28065	697	BdTR5c_R3S	BdTR5c	Clone3	3	SN877_0438	L1	L1.2	501	709	A9	SRR5050935
S60065	28066	684	BdTR3h_R1S	BdTR3h	Clone2	1	SN877_0438	L1	L1.2	502	709	B9	SRR5050899
S60066	28067	686	BdTR3j_R3S	BdTR3j	Clone2	3	SN877_0438	L1	L1.2	503	709	C9	SRR5050923
S60067	28068	699	BdTR5e_R3S	BdTR5e	Clone3	3	SN877_0438	L1	L1.2	504	709	D9	SRR5050937
S60068	28069	740	BdTR10n_R1S	BdTR10n	Clone6	1	SN877_0438	L1	L1.2	505	709	E9	SRR5050912
S60069	28070	730	BdTR10c_R3S	BdTR10c	Clone5	3	SN877_0438	L1	L1.2	506	709	F9	SRR5050893
S60070	28071	667	BdTR2h_R3S	BdTR2h	Clone1	3	SN877_0438	L1	L1.2	507	709	G9	SRR5050905
S60071	28072	669	BdTR2j_R2S	BdTR2j	Clone1	2	SN877_0438	L1	L1.2	508	709	H9	SRR5050873
S60072	28073	704	BdTR5j_R1S	BdTR5j	Clone3	1	SN877_0438	L1	L1.2	501	710	A10	SRR5050916
S60073	28074	748	BdTR11g_R2S	BdTR11g	Clone6	2	SN877_0438	L1	L1.2	502	710	B10	SRR5050870
S60074	28075	694	BdTR3t_R1S	BdTR3t	Clone2	1	SN877_0438	L1	L1.2	503	710	C10	SRR5050865
S60075	28076	700	BdTR5f_R1S	BdTR5f	Clone3	1	SN877_0438	L1	L1.2	504	710	D10	SRR5050933
S60076	28077	732	BdTR10e_R2S	BdTR10e	Clone5	2	SN877_0438	L1	L1.2	505	710	E10	SRR5050855
S60077	28078	731	BdTR10d_R1S	BdTR10d	Clone5	1	SN877_0438	L1	L1.2	506	710	F10	SRR5050928
S60078	28079	672	BdTR2n_R2S	BdTR2n	Clone1	2	SN877_0438	L1	L1.2	507	710	G10	SRR5050919
S60079	28080	683	BdTR3g_R2S	BdTR3g	Clone2	2	SN877_0438	L1	L1.2	508	710	H10	SRR5050901
S60080	28081	698	BdTR5d_R2S	BdTR5d	Clone3	2		L1	L1.2	501	711	A11	
S60081	28082	4741	Bd21_R12S	Bd21	Bd21	12	SN877_0438	L1	L1.2	502	711	B11	SRR5050900
S60082	28083	741	BdTR10o_R3S	BdTR10o	Clone5	3	SN877_0438	L1	L1.2	503	711	C11	SRR5050930
S60083	28084	696	BdTR5b_R1S	BdTR5b	Clone3	1	SN877_0438	L1	L1.2	504	711	D11	SRR5050920
S60084	28085	671	BdTR2m_R2S	BdTR2m	Clone1	2	SN877_0438	L1	L1.2	505	711	E11	SRR5050896
S60085	28086	750	BdTR11i_R2S	BdTR11i	Clone6	2	SN877_0438	L1	L1.2	506	711	F11	SRR5050903
S60086	28087	736	BdTR10i_R1S	BdTR10i	Clone5	1	SN877_0438	L1	L1.2	507	711	G11	SRR5050851
S60087	28088	548	SLK7_R2S	SLK7	HYB1	2	SN877_0438	L1	L1.2	508	711	H11	SRR5050897
S60088	28089	725	BdTR9j_R3S	BdTR9j	Clone4	3	SN877_0438	L1	L1.2	501	712	A12	SRR5050875
S60089	28090	694	BdTR3t_R2S	BdTR3t	Clone2	2	SN877_0438	L1	L1.2	502	712	B12	SRR5050871
S60090	28091	696	BdTR5b_R2S	BdTR5b	Clone3	2	SN877_0438	L1	L1.2	503	712	C12	SRR5050882
S60091	28092	397	GWW10_R3S	GWW10	HYB1	3	SN877_0438	L1	L1.2	504	712	D12	SRR5050921
S60092	28093	747	BdTR11f_R1S	BdTR11f	Clone6	1	SN877_0438	L1	L1.2	505	712	E12	SRR5050884
S60093	28094	693	BdTR3s_R3S	BdTR3s	Clone2	3	SN877_0438	L1	L1.2	506	712	F12	SRR5050936
S60094	28095	734	BdTR10g_R1S	BdTR10g	Clone5	1	SN877_0438	L1	L1.2	507	712	G12	SRR5050888
